FUNC __main__.main 59.0312 1707920777.2181 59.5312 1707920778.7463 0
CMDLINE /usr/bin/python3 activematter.py
MEM 0.500000 1707920776.8660
MEM 30.386719 1707920776.9665
MEM 48.281250 1707920777.0668
MEM 55.906250 1707920777.1672
MEM 59.406250 1707920777.2677
MEM 59.406250 1707920777.3681
MEM 59.531250 1707920777.4686
MEM 59.531250 1707920777.5691
MEM 59.531250 1707920777.6696
MEM 59.531250 1707920777.7701
MEM 59.531250 1707920777.8706
MEM 59.531250 1707920777.9711
MEM 59.531250 1707920778.0716
MEM 59.531250 1707920778.1720
MEM 59.531250 1707920778.2732
MEM 59.531250 1707920778.3737
MEM 59.531250 1707920778.4742
MEM 59.531250 1707920778.5746
MEM 59.531250 1707920778.6750
MEM 59.531250 1707920778.7755
